experiment_name,experiment_id,descriptor_type,pooling_strategy,mean_average_precision,true_map_macro,true_map_micro,true_map_macro_with_zeros,true_map_micro_with_zeros,precision_at_1,precision_at_5,recall_at_1,recall_at_5,processing_time_s
descriptor_processing_sift_keynet_pairs,391,vgg_color_dsp_l2_root_after,domain_size_pooling,0.5294224635251529,0.5294224635251529,0.5580530518870761,0.19108328944066214,0.1929688924034559,0.5232621554725846,0.5929437429206695,0.5232621554725846,0.5929437429206695,61.524
descriptor_processing_sift_keynet_pairs,389,vgg_color_dsp_l2_root_before,domain_size_pooling,0.5366324457533364,0.5366324457533364,0.5644652625874412,0.19324947089643132,0.1951861676114722,0.53068758652515,0.5988589168100013,0.53068758652515,0.5988589168100013,61.942
descriptor_processing_sift_keynet_pairs,387,vgg_color_dsp_l2_root_none,domain_size_pooling,0.54346369431809,0.54346369431809,0.570884683249654,0.19551285503816027,0.1974059359486763,0.5380291144019801,0.6043965264085246,0.5380291144019801,0.6043965264085246,61.46
descriptor_processing_sift_keynet_pairs,373,vgg_color_plain_l1_root_after,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.999
descriptor_processing_sift_keynet_pairs,371,vgg_color_plain_l1_root_before,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.877
descriptor_processing_sift_keynet_pairs,369,vgg_color_plain_l1_root_none,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.921
descriptor_processing_sift_keynet_pairs,379,vgg_color_plain_l2_root_after,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.772
descriptor_processing_sift_keynet_pairs,377,vgg_color_plain_l2_root_before,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.822
descriptor_processing_sift_keynet_pairs,375,vgg_color_plain_l2_root_none,none,0.5310227554051986,0.5310227554051986,0.5606638131625225,0.19183992772593284,0.19387166627047286,0.5259470570961111,0.594999370726182,0.5259470570961111,0.594999370726182,32.795
descriptor_processing_sift_keynet_pairs,384,vgg_gray_dsp_l1_root_after,domain_size_pooling,0.5294486361447802,0.5294486361447802,0.5581474730942678,0.1910744390339573,0.19300154226659985,0.5234719134119227,0.5933213072114779,0.5234719134119227,0.5933213072114779,61.427
descriptor_processing_sift_keynet_pairs,382,vgg_gray_dsp_l1_root_before,domain_size_pooling,0.5367178491183355,0.5367178491183355,0.5644710589341304,0.19326502869766984,0.19518817192736443,0.53068758652515,0.5988169652221337,0.53068758652515,0.5988169652221337,61.36
descriptor_processing_sift_keynet_pairs,380,vgg_gray_dsp_l1_root_none,domain_size_pooling,0.5437170830528718,0.5437170830528718,0.5709191259497632,0.1955507117261419,0.1974178458731342,0.5380710659898477,0.6040609137055838,0.5380710659898477,0.6040609137055838,61.266
